condition,slurm_id,prior_range,tmax,n_summary_dims,a_var,sd_r_var,tau_prior,a_prior,A_prior,mu_c_prior,b_prior,mu_r_prior,sd_r_prior,x0_var,A_prior_shape,A_prior_rate,A_prior_mean,A_prior_sd,tau_prior_shape,tau_prior_rate,tau_prior_mean,tau_prior_sd,mu_c_prior_shape,mu_c_prior_rate,mu_c_prior_mean,mu_c_prior_sd,b_prior_shape,b_prior_rate,b_prior_mean,b_prior_sd,mu_r_prior_shape,mu_r_prior_rate,mu_r_prior_mean,mu_r_prior_sd,sd_r_prior_shape,sd_r_prior_rate,sd_r_prior_mean,sd_r_prior_sd,a_value,a_prior_shape,a_prior_rate,a_prior_shift,a_prior_mean,a_prior_sd,link_function,normal_restriction,attention_setting_key_dim,num_heads,num_inducing_points,num_seeds,num_dense_fc,dense_setting_units,dense_setting_activation,coupling_design,n_coupling_layers,n_epochs,learning_rate,max_obs,batch_size,use_layer_norm,n_iterations,alphas_in_dir_cond,category,dropout
10,NA,White,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,13.7812988537318,0.500570211843332,NA,NA,5.12575297793979,0.0728681939314683,NA,NA,7.46490941952515,14.9593046639675,NA,NA,37.8001870694282,0.301922260079175,NA,NA,78.9780782007163,0.2358014747537,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
11,NA,White,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,fixed,13.7812988537318,0.500570211843332,NA,NA,5.12575297793979,0.0728681939314683,NA,NA,7.46490941952515,14.9593046639675,NA,NA,37.8001870694282,0.301922260079175,NA,NA,78.9780782007163,0.2358014747537,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
12,NA,White,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,13.7812988537318,0.500570211843332,NA,NA,5.12575297793979,0.0728681939314683,NA,NA,7.46490941952515,14.9593046639675,NA,NA,37.8001870694282,0.301922260079175,NA,NA,78.9780782007163,0.2358014747537,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
13,NA,White,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,fixed,13.7812988537318,0.500570211843332,NA,NA,5.12575297793979,0.0728681939314683,NA,NA,7.46490941952515,14.9593046639675,NA,NA,37.8001870694282,0.301922260079175,NA,NA,78.9780782007163,0.2358014747537,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
14,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
15,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
16,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
17,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,64,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
18,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,2,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
19,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,128,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
20,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,64,relu,affine,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
21,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,64,relu,spline,6,50,0.0005,2000,32,FALSE,1000,yes,NA,0
22,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,64,relu,spline,12,50,0.00005,2000,32,FALSE,1000,yes,NA,0
23,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,64,relu,spline,12,50,0.005,2000,32,FALSE,1000,yes,NA,0
24,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,8,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
25,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,4,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
26,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,128,8,64,4,2,256,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
27,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,8,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
28,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,128,8,64,4,2,256,relu,spline,12,80,0.0005,2000,32,FALSE,1000,yes,NA,0
29,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.00005,2000,32,FALSE,1000,yes,NA,0
30,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0001,2000,32,FALSE,1000,yes,NA,0
31,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0001,2000,32,FALSE,1000,yes,NA,0
