participant,rt,accuracy,congruency_num,spacing_num
6427,0.312,1,0,1
8026,0.401,1,0,1
275,0.437,1,1,1
7924,0.5673,1,1,1
845,0.382,1,0,1
6427,0.461,1,0,1
1538,0.6479,1,1,1
3286,0.43,1,0,1
6253,0.297,0,0,1
1761,0.4173,1,1,1
275,0.428,1,0,1
8755,0.3955,1,1,1
6361,0.534,1,0,1
6634,0.5334,1,1,1
6565,0.5267,1,1,1
7768,0.3674,1,1,1
810,0.4682,1,0,1
8308,0.555,1,0,1
5281,0.405,1,1,1
6583,0.4305,1,1,1
6262,0.423,1,1,1
6427,0.581,1,0,1
4222,0.4027,1,0,1
8446,0.4027,1,0,1
3754,0.4925,1,1,1
6253,0.425,1,1,1
337788,0.438,1,0,1
7768,0.4184,1,0,1
1507,0.472,1,1,1
3754,0.7247,1,1,1
275,0.364,1,1,1
1538,0.673,1,1,1
161753,0.363,1,1,1
6529,0.344,1,0,1
3910,0.3907,1,0,1
6634,0.4705,1,1,1
1657,0.4534,1,0,1
808,0.3939,1,1,1
6427,0.369,1,1,1
1813,0.3361,1,1,1
3580,0.411,1,1,1
1538,0.4512,1,0,1
4264,0.4009,1,0,1
8785,0.4878,1,0,1
8788,0.3705,1,0,1
6634,0.4028,1,0,1
1601,0.4786,1,1,1
3625,0.5153,1,0,1
1430,0.374,1,1,1
7828,0.4182,1,0,1
8311,0.497,1,0,1
6565,0.423,1,1,1
4222,0.3289,1,0,1
5803,0.398,0,1,1
6055,0.376,1,0,1
1583,0.4443,1,0,1
3754,0.4854,1,0,1
1538,0.3786,1,0,1
3988,0.43,1,0,1
833,0.4875,1,1,1
1583,0.5029,1,1,1
1583,0.4858,1,1,1
6109,0.4125,1,1,1
7939,0.413,1,0,1
5761,0.4027,1,0,1
1601,0.3454,1,1,1
8026,0.419,1,0,1
6361,0.525,1,1,1
7813,0.402,1,0,1
916,0.3726,1,1,1
1430,0.508,1,1,1
6214,0.5442,1,1,1
916,0.7193,1,1,1
4264,0.4345,1,0,1
1538,0.3398,1,1,1
7756,0.635,1,1,1
1813,0.3055,1,0,1
1663,0.393,1,0,1
3625,0.5093,1,1,1
1430,0.59,1,1,1
6634,0.2977,0,1,1
1657,0.5042,1,1,1
3487,0.2729,1,0,1
8785,0.5311,1,1,1
1761,0.5,1,0,1
808,0.388,1,0,1
7813,0.307,0,1,1
7624,0.507,1,1,1
275,0.446,1,0,1
5575,0.3996,1,1,1
8755,0.4372,1,1,1
1597,0.633,1,1,1
6214,0.4224,1,0,1
4264,0.5521,1,1,1
4264,0.5186,1,1,1
837,0.302,1,1,1
1657,0.5169,1,1,1
8755,0.3933,1,1,1
6262,0.5135,1,0,1
1821,0.4406,1,0,1
8026,0.383,1,1,1
845,0.598,1,1,1
7924,0.454,1,0,1
7756,0.4072,1,0,1
5803,0.647,1,1,1
1657,0.3989,1,1,1
1583,0.3771,1,0,1
1597,0.473,1,0,1
6844,0.497,1,1,1
6214,0.3952,1,0,1
3292,0.4222,1,0,1
7840,0.434,1,0,1
8788,0.316400001,0,1,1
6529,0.285,0,1,1
6361,0.476,1,1,1
3292,0.5692,1,1,1
810,0.4367,1,0,1
3910,0.4827,1,1,1
3988,0.355,1,0,1
3988,0.3817,0,1,1
1538,0.6384,1,0,1
8446,0.3216,1,0,1
916,0.4383,1,1,1
1638,0.3667,1,0,1
6361,0.722,1,0,1
6565,0.3213,1,0,1
3754,0.4564,1,1,1
1614,0.398,1,0,1
1601,0.3097,1,0,1
985,0.275,0,0,1
3625,0.4509,0,1,1
1657,0.3419,0,1,1
4222,0.3586,1,1,1
1768,0.367,1,1,1
3754,0.5362,1,0,1
810,0.3812,1,0,1
6427,0.46,1,0,1
6214,0.4091,1,0,1
1663,0.457,1,0,1
1824,0.4264,0,1,1
7624,0.513,1,1,1
5815,0.5143,1,0,1
8026,0.4,1,0,1
8521,0.4721,1,1,1
7756,0.4404,1,0,1
3292,0.5689,1,1,1
1507,0.4029,1,0,1
7840,0.531,1,0,1
1761,0.5154,1,0,1
1583,0.4748,1,1,1
8788,0.496400001,1,1,1
1583,0.48740000000000006,0,1,1
916,0.4075,1,0,1
1824,0.3748,0,1,1
4222,0.336,1,0,1
7924,0.3884,1,0,1
6427,0.497,1,0,1
1824,0.5697,1,1,1
6361,0.575,1,1,1
6844,0.517,1,0,1
1657,0.3328,1,1,1
3292,0.3886,1,1,1
8026,0.495,1,0,1
1657,0.3246,1,0,1
6634,0.4674,1,0,1
4222,0.5598,1,1,1
1507,0.3674,1,1,1
837,0.621,1,0,1
3286,0.419,1,1,1
1538,0.4737,1,0,1
6844,0.439,1,1,1
3292,0.4087,1,1,1
1761,0.5319,1,0,1
3580,0.458,1,0,1
5575,0.4992,1,0,1
7624,0.708,1,0,1
6214,0.3429,1,0,1
8785,0.4398,1,0,1
1582,0.5219,1,1,1
6253,0.441,1,0,1
6844,0.493,1,0,1
1507,0.3176,0,0,1
3988,0.2963,1,1,1
8521,0.5663,1,0,1
6844,0.485,1,1,1
1597,0.624,1,1,1
6634,0.3419,0,1,1
4264,0.4123,1,0,1
3580,0.423,1,1,1
7813,0.304,1,0,1
7756,0.4511,1,1,1
6844,0.513,1,0,1
985,0.384,1,0,1
3988,0.2624,1,0,1
6214,0.4115,1,0,1
8308,0.439,1,1,1
6427,0.334,1,0,1
5332,0.401,1,0,1
1761,0.451,1,0,1
1663,0.562,1,1,1
5803,0.435,1,0,1
3286,0.421,0,1,1
6214,0.3327,1,0,1
8755,0.4178,1,1,1
4222,0.3879,1,0,1
1538,0.3938,1,1,1
916,0.4494,0,1,1
5731,0.452,1,0,1
810,0.5146,1,0,1
1761,0.4063,1,0,1
8704,0.501,1,0,1
8755,0.381,1,0,1
985,0.506,1,1,1
3580,0.454,1,1,1
6253,0.387,1,0,1
7756,0.5056,1,1,1
8755,0.4469,1,0,1
6844,0.47,1,0,1
4222,0.5292,1,0,1
3754,0.4744,1,0,1
810,0.2799,0,0,1
5281,0.432,1,0,1
1813,0.5016,1,0,1
7768,0.4195,1,1,1
8785,0.4504,1,0,1
1663,0.488,1,1,1
8521,0.6153,1,1,1
6529,0.397,1,0,1
985,0.534,1,1,1
985,0.415,1,0,1
7807,0.3622,1,0,1
337788,0.439,1,0,1
6253,0.504,1,0,1
4264,0.4512,1,0,1
1430,0.382,1,0,1
3286,0.395,1,1,1
8755,0.3694,1,0,1
6844,0.424,1,0,1
1761,0.4163,1,0,1
6055,0.38,1,0,1
5731,0.426,1,0,1
7624,0.466,1,0,1
808,0.4844,1,0,1
1601,0.4356,1,0,1
161753,0.453,1,0,1
7768,0.4674,1,1,1
1824,0.4342,1,0,1
7756,0.3745,1,0,1
1663,0.347,1,0,1
4264,0.5004,1,1,1
8785,0.4987,1,1,1
1583,0.771,1,0,1
1638,0.6106,1,0,1
3580,0.397,1,0,1
6583,0.5407,1,1,1
8788,0.3664,1,1,1
845,0.399,1,0,1
1657,0.4094,1,1,1
3487,0.3541,1,0,1
8704,0.357,1,1,1
1507,0.3922,1,0,1
1638,0.4495,1,0,1
7939,0.422,1,0,1
4222,0.3549,1,0,1
8311,0.484,1,1,1
8446,0.4535,1,1,1
810,0.4366,1,0,1
3625,0.4134,1,0,1
275,0.537,1,1,1
1824,0.5718,1,1,1
8785,0.4033,1,0,1
4264,0.3534,1,0,1
5815,0.486,0,0,1
8446,0.3701,1,0,1
4264,0.4956,1,1,1
