participant,rt,accuracy,congruency_num,spacing_num
275,0.432,1,0,1
275,0.448,1,0,1
275,0.377,1,0,1
275,0.415,1,1,1
275,0.318,1,0,1
275,0.608,1,1,1
275,0.529,1,0,1
275,0.413,1,0,1
275,0.527,1,1,1
275,0.437,1,1,1
275,0.401,1,0,1
275,0.429,1,0,1
275,0.509,1,1,1
275,0.403,1,0,1
275,0.4,0,1,1
275,0.4,1,1,1
275,0.417,1,1,1
275,0.404,1,0,1
275,0.335,1,0,1
275,0.448,1,1,1
275,0.464,1,0,1
275,0.567,1,0,1
275,0.42,1,1,1
275,0.4,1,0,1
275,0.429,1,0,1
275,0.414,1,0,1
275,0.464,1,1,1
275,0.466,1,0,1
275,0.52,1,1,1
275,0.519,1,1,1
275,0.566,1,1,1
275,0.394,1,0,1
275,0.444,1,1,1
275,0.433,1,1,1
275,0.495,1,1,1
275,0.572,1,0,1
275,0.399,1,0,1
275,0.443,1,0,1
275,0.394,1,0,1
275,0.405,1,0,1
275,0.369,1,0,1
275,0.476,1,1,1
275,0.534,1,0,1
275,0.48,1,0,1
275,0.453,1,0,1
275,0.355,1,0,1
275,0.463,1,1,1
275,0.303,1,0,1
275,0.364,1,1,1
275,0.466,1,1,1
275,0.32,1,0,1
275,0.493,1,0,1
275,0.353,1,0,1
275,0.463,1,0,1
275,0.471,1,0,1
275,0.58,1,1,1
275,0.366,1,0,1
275,0.367,1,1,1
275,0.525,1,1,1
275,0.527,1,0,1
275,0.379,0,1,1
275,0.63,1,1,1
275,0.395,1,1,1
275,0.419,1,0,1
275,0.421,1,1,1
275,0.497,1,0,1
275,0.612,1,1,1
275,0.395,1,0,1
275,0.48,1,0,1
275,0.456,1,1,1
275,0.377,1,0,1
275,0.369,1,1,1
275,0.428,1,1,1
275,0.47,1,0,1
275,0.396,1,0,1
275,0.487,1,1,1
275,0.463,1,1,1
275,0.337,1,1,1
275,0.361,1,0,1
275,0.431,1,0,1
275,0.346,1,0,1
275,0.388,1,0,1
275,0.468,1,0,1
275,0.385,1,0,1
275,0.702,1,0,1
275,0.512,1,0,1
275,0.451,1,1,1
275,0.446,1,0,1
275,0.414,1,1,1
275,0.482,1,0,1
275,0.403,1,0,1
275,0.384,1,0,1
275,0.55,1,0,1
275,0.668,1,1,1
275,0.468,1,1,1
275,0.436,1,1,1
275,0.386,1,0,1
275,0.481,1,1,1
275,0.398,1,0,1
275,0.43,1,1,1
275,0.346,1,1,1
275,0.431,1,0,1
275,0.516,1,1,1
275,0.435,1,0,1
275,0.398,0,0,1
275,0.793,1,1,1
275,0.37,1,1,1
275,0.45,1,0,1
275,0.586,1,0,1
275,0.398,1,0,1
275,0.445,1,1,1
275,0.652,1,1,1
275,0.401,1,1,1
275,0.481,1,1,1
275,0.461,1,1,1
275,0.357,0,0,1
275,0.456,1,0,1
275,0.37,1,1,1
275,0.379,1,0,1
275,0.49,1,0,1
275,0.389,1,0,1
275,0.442,1,0,1
275,0.614,1,1,1
275,0.533,1,1,1
275,0.34,1,0,1
275,0.38,1,1,1
275,0.553,1,1,1
275,0.371,1,0,1
275,0.395,1,0,1
275,0.568,1,1,1
275,0.37,1,0,1
275,0.485,1,0,1
275,0.333,1,0,1
275,0.336,1,1,1
275,0.42,1,1,1
275,0.637,1,1,1
275,0.762,1,1,1
275,0.384,1,1,1
275,0.464,1,0,1
275,0.381,1,1,1
275,0.37,1,0,1
275,0.416,1,1,1
275,0.502,1,1,1
275,0.586,1,1,1
275,0.536,1,0,1
275,0.4,1,1,1
275,0.411,0,1,1
275,0.413,1,0,1
275,0.41,1,1,1
275,0.367,1,0,1
275,0.445,1,0,1
275,0.427,1,1,1
275,0.378,1,1,1
275,0.473,1,0,1
275,0.432,1,0,1
275,0.407,1,0,1
275,0.683,1,1,1
275,0.396,1,0,1
275,0.297,1,0,1
275,0.441,1,0,1
275,0.344,1,0,1
275,0.46,1,1,1
275,0.603,1,0,1
275,0.749,1,0,1
275,0.485,1,0,1
275,0.437,1,0,1
275,0.43,1,1,1
808,0.4419,1,0,1
808,0.6202,1,0,1
808,0.4992,1,1,1
808,0.4617,1,1,1
808,0.7483,1,0,1
808,0.5518,1,0,1
808,0.4084,1,1,1
808,0.5537,1,1,1
808,0.5707,1,1,1
808,0.4679,1,0,1
808,0.4253,1,0,1
808,0.3613,1,0,1
808,0.525,1,0,1
808,0.4481,1,0,1
808,0.4697,1,1,1
808,0.3866,1,0,1
808,0.4375,1,1,1
808,0.4318,1,1,1
808,0.4702,1,1,1
808,0.3618,0,1,1
808,0.5012,1,0,1
808,0.4638,1,1,1
808,0.5031,1,1,1
808,0.3577,1,0,1
808,0.3476,0,1,1
808,0.4563,1,1,1
808,0.387,1,0,1
808,0.5969,1,1,1
808,0.5501,1,0,1
808,0.4997,0,1,1
808,0.4611,1,0,1
808,0.4538,1,1,1
808,0.5205,1,1,1
808,0.4272,1,1,1
808,0.3983,1,1,1
808,0.5051,1,1,1
808,0.6192,1,0,1
808,0.5242,1,1,1
808,0.393,1,1,1
808,0.4088,0,1,1
808,0.3819,1,0,1
808,0.4496,1,0,1
808,0.4474,1,0,1
808,0.3706,1,1,1
808,0.4713,1,0,1
808,0.3995,1,1,1
808,0.5205,1,0,1
808,0.5903,1,0,1
808,0.5149,1,1,1
808,0.5259,1,1,1
808,0.5054,1,0,1
808,0.4254,1,1,1
808,0.4914,1,0,1
808,0.4333,1,0,1
808,0.6756,1,0,1
808,0.345,1,1,1
808,0.4733,1,1,1
808,0.5838,1,0,1
808,0.4314,1,0,1
808,0.4812,1,0,1
808,0.476,1,1,1
808,0.441,1,1,1
808,0.485,1,1,1
808,0.7328,1,0,1
808,0.3532,1,0,1
808,0.3895,1,1,1
808,0.4741,1,1,1
808,0.375,1,0,1
808,0.3762,1,0,1
808,0.417,1,0,1
808,0.4452,1,0,1
808,0.4792,0,0,1
808,0.4417,1,1,1
808,0.4861,1,0,1
808,0.5243,1,1,1
808,0.5492,1,1,1
808,0.6244,1,1,1
808,0.4093,1,0,1
808,0.4002,1,0,1
808,0.4245,1,1,1
808,0.3557,1,0,1
808,0.4469,1,0,1
808,0.3819,1,1,1
808,0.5343,1,0,1
808,0.8044,1,1,1
808,0.3879,1,1,1
808,0.571,1,0,1
808,0.4704,1,0,1
808,0.3922,1,0,1
808,0.5714,1,0,1
808,0.4411,1,0,1
808,0.3815,1,0,1
808,0.3819,1,0,1
808,0.3863,1,1,1
808,0.432,1,0,1
808,0.4886,1,0,1
808,0.4682,1,1,1
808,0.3664,1,0,1
808,0.4084,1,0,1
808,0.482,1,1,1
808,0.3883,1,0,1
808,0.5202,1,0,1
808,0.414,1,1,1
808,0.525,1,1,1
808,0.4655,1,0,1
808,0.3766,1,0,1
808,0.3671,1,0,1
808,0.4823,1,1,1
808,0.547,1,1,1
808,0.5052,1,1,1
