participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1108,0.4248,1,0,1,13
1108,0.4083,1,0,1,15
1108,0.4173,1,0,1,16
1108,0.4415,1,1,1,17
1108,0.474,1,0,1,18
1108,0.3976,1,1,1,19
1108,0.3611,1,1,1,20
1108,0.3244,1,0,1,22
1108,0.3599,1,1,1,23
1108,0.2858,0,0,1,24
1108,0.3751,1,0,1,27
1108,0.3496,1,0,1,28
1108,0.401,1,1,1,29
1108,0.3579,1,0,1,30
1108,0.3262,1,1,1,31
1108,0.4404,0,1,1,32
1108,0.3935,1,0,1,33
1108,0.3726,1,0,1,35
1108,0.3907,1,0,1,36
1108,0.3462,1,0,1,37
1108,0.3704,1,0,1,39
1108,0.4258,1,1,1,40
1108,0.3588,0,1,1,43
1108,0.4774,1,1,1,44
1108,0.417,1,0,1,45
1108,0.4141,1,0,1,47
1108,0.5985,1,1,1,49
1108,0.3867,1,0,1,50
1108,0.4942,1,0,1,52
1108,0.4914,1,1,1,53
1108,0.4562,1,1,1,55
1108,0.4989,1,1,1,56
1108,0.3512,0,1,1,57
1108,0.3442,1,1,1,58
1108,0.4248,1,1,1,59
1108,0.2836,1,0,1,64
1108,0.3703,1,1,1,67
1108,0.3565,0,1,1,68
1108,0.4445,1,0,1,69
1108,0.4442,1,0,1,71
1108,0.4369,1,1,1,73
1108,0.4365,1,1,1,74
1108,0.42,1,1,1,75
1108,0.4786,1,0,1,78
1108,0.424,1,0,1,79
1108,0.4223,1,1,1,80
1108,0.3765,1,1,1,81
1108,0.4376,1,1,1,84
1108,0.4205,1,1,1,85
1108,0.4236,1,0,1,86
1108,0.5229,1,1,1,88
1108,0.3392,1,0,1,90
1108,0.3868,1,0,1,92
1108,0.3078,1,0,1,98
1108,0.3246,0,0,1,99
1108,0.3865,1,0,1,100
1108,0.377,1,0,1,101
1108,0.3673,1,1,1,102
1108,0.4602,1,1,1,105
1108,0.3838,1,0,1,109
1108,0.3337,1,0,1,112
1108,0.4035,1,0,1,114
1108,0.3535,1,0,1,115
1108,0.3697,1,0,1,116
1108,0.4707,1,1,1,117
1108,0.5089,1,1,1,118
1108,0.4141,1,1,1,119
1108,0.3585,1,0,1,120
1108,0.4088,0,1,1,121
1108,0.385,1,0,1,122
1108,0.3871,1,0,1,123
1108,0.4153,0,1,1,124
1108,0.4779,1,0,1,125
1108,0.377,1,1,1,126
1108,0.3365,1,1,1,127
1108,0.4524,1,0,1,2
1108,0.4282,1,1,1,3
1108,0.3678,1,1,1,9
1108,0.4169,1,1,1,10
1108,0.3735,1,0,1,11
1108,0.362,1,0,1,12
1108,0.4992,1,1,1,13
1108,0.6025,1,1,1,14
1108,0.4299,1,1,1,15
1108,0.4713,1,0,1,16
1108,0.4367,1,0,1,17
1108,0.3935,0,1,1,20
1108,0.3668,1,1,1,22
1108,0.5503,1,0,1,23
1108,0.5215,1,1,1,24
1108,0.5084,1,1,1,25
1108,0.4373,1,1,1,27
1108,0.3766,1,0,1,29
1108,0.4702,1,1,1,30
1108,0.3731,1,0,1,31
1108,0.3607,1,1,1,34
1108,0.3278,1,0,1,35
1108,0.3843,1,1,1,36
1108,0.3445,1,0,1,37
1108,0.4596,1,0,1,38
1108,0.4044,1,0,1,39
1108,0.3784,1,1,1,42
1108,0.3244,0,1,1,43
1108,0.3,0,1,1,45
1108,0.3823,1,0,1,46
1108,0.3743,1,1,1,48
1108,0.3893,1,0,1,49
1108,0.3464,0,1,1,50
